System,Utterance,H:engaging,H:context,H:natural,H:overall,H:understandable,H:useknowledge,S3_pyr,S3_resp,ROUGE_WE_1,ROUGE_WE_2,JS_1,JS_2,ROUGE_L,ROUGE_1,ROUGE_2,BLEU,Chrfpp,BERTScore,MoverScore
0,M0,3.0,1.0,3.0,2.0,1.0,0.6666666666666666,-0.04519449630824601,0.22861862060288995,0.16666666666666666,0.0,-0.6931471805599453,-0.6931471805599454,0.16666666666666666,0.16666666666666666,0.0,1.419919361283895,0.10202622861469937,0.43249791860580444,-0.08781490350054821
0,M1,1.6666666666666667,3.0,1.6666666666666667,3.0,1.0,0.0,0.20541345530171018,0.37859215212319663,0.3333333333333333,0.0,-0.41272565263942185,-0.6931471805599453,0.3333333333333333,0.3333333333333333,0.0,3.7477767366779213,0.13302753862808359,0.6055101752281189,0.295771353529119
0,M2,1.6666666666666667,1.0,2.3333333333333335,2.0,0.3333333333333333,0.0,-0.0451944963082469,0.22861862060288995,0.16666666666666666,0.0,-0.6931471805599453,-0.6931471805599453,0.16666666666666666,0.16666666666666666,0.0,2.3838535102285476,0.0746268656716418,0.5233296155929565,0.1220390835675691
0,M3,3.0,3.0,3.0,5.0,1.0,1.0,-0.0451944963082469,0.22861862060288995,0.16666666666666666,0.0,-0.6931471805599453,-0.6931471805599453,0.16666666666666666,0.16666666666666666,0.0,1.8738883683389607,0.10856140093428229,0.47611236572265625,-0.011977538130137022
1,M0,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.0,-0.10233404016258163,0.19606098167862218,0.0,0.0,-0.6931471805599453,-0.6931471805599453,0.0,0.0,0.0,2.0244462660665508,0.11902105979205954,0.4118475317955017,-0.09691207170166227
1,M1,2.6666666666666665,2.0,2.6666666666666665,2.6666666666666665,1.0,0.3333333333333333,-0.10233404016258163,0.19606098167862218,0.0,0.0,-0.6931471805599453,-0.6931471805599453,0.0,0.0,0.0,2.8398387225677895,0.13403810385935755,0.4653049409389496,0.09054227770521606
1,M2,1.3333333333333333,1.0,3.0,2.3333333333333335,1.0,0.0,-0.06139845705501423,0.21975524848692618,0.125,0.0,-0.6931471805599453,-0.6931471805599453,0.125,0.125,0.0,5.795599612995366,0.10885007313365308,0.4593470096588135,0.0548941563178188
1,M3,3.0,3.0,2.6666666666666665,4.666666666666667,1.0,1.0,-0.10233404016258163,0.19606098167862218,0.0,0.0,-0.6931471805599453,-0.6931471805599453,0.0,0.0,0.0,3.0890553181566975,0.10794857052072536,0.48776787519454956,0.07863638220103752
2,M0,3.0,2.0,2.6666666666666665,3.0,1.0,0.3333333333333333,-0.10233404016258163,0.19606098167862218,0.0,0.0,-0.6931471805599453,-0.6931471805599453,0.0,0.0,0.0,1.313980855204222,0.20988148556610592,0.5470354557037354,0.016804468948771856
2,M1,2.0,3.0,1.6666666666666667,3.0,0.6666666666666666,0.3333333333333333,0.716425947577701,0.7712740552024148,0.4,0.25,-0.28116757230940415,-0.5529364165996835,0.4,0.6,0.25,7.809849842300637,0.271730972051379,0.6294794678688049,0.27773692551703777
